"R0000100","R0173600","R0214700","R0214800","T3200700","T3212900","T3976200","T4045802"
2865,5,3,2,11,11,0,9600
2866,1,3,1,9,11,1,842000
2867,5,3,2,9,12,1,84300
2868,1,3,1,7,16,1,664500
2869,5,3,2,-5,-5,-5,-5
2870,1,3,1,7,17,1,256500
2871,1,3,1,7,18,1,985000
2872,5,3,2,-5,-5,-5,-5
2873,1,3,1,7,20,0,128500
2874,4,1,1,9,9,0,8000
2875,1,3,1,-5,-5,-5,-5
2876,1,3,1,7,12,1,643000
2877,6,3,2,4,14,1,324550
2878,8,1,2,7,3,0,-2000
2879,5,3,2,7,12,0,-3
2880,5,3,2,7,12,1,290000
2881,1,3,1,-5,-5,-5,-5
2882,1,3,1,10,12,1,135636
2883,5,3,2,-5,-5,-5,-5
2884,1,3,1,7,12,0,168000
2885,5,3,2,7,11,1,349500
2886,7,2,2,10,12,0,-25000
2887,5,3,2,-5,-5,-5,-5
2888,1,3,1,-5,-5,-5,-5
2889,5,3,2,7,16,1,1072000
2890,4,1,1,-5,-5,-5,-5
2891,8,1,2,-5,-5,-5,-5
2892,5,3,2,1,20,1,3749941
2893,1,3,1,4,19,1,3749941
2894,5,3,2,3,16,1,-3
2895,1,3,1,3,16,1,3749941
2896,1,3,1,10,18,1,3749941
2897,5,3,2,-5,-5,-5,-5
2898,1,3,1,-5,-5,-5,-5
2899,5,3,2,3,16,1,974000
2900,5,3,2,-5,-5,-5,-5
2901,5,3,2,-5,-5,-5,-5
2902,5,3,2,10,18,1,389500
2903,1,3,1,10,16,1,3749941
2904,1,3,1,9,19,1,596800
2905,1,3,1,4,16,0,1014328
2906,1,3,1,10,19,-4,0
2907,1,3,1,-5,-5,-5,-5
2908,5,3,2,6,16,1,3749941
2909,5,3,2,10,18,1,3749941
2910,5,3,2,8,18,0,158200
2911,8,1,2,11,12,1,-3
2912,4,1,1,11,14,0,49000
2913,4,1,1,-5,-5,-5,-5
2914,3,2,1,2,14,1,1500
2915,1,3,1,10,18,1,793709
2916,1,3,1,-5,-5,-5,-5
2917,1,3,1,11,12,1,-9000
2918,5,3,2,7,12,1,692000
2919,5,3,2,7,12,0,-3
2920,1,3,1,7,12,1,345000
2921,1,3,1,7,12,0,130200
2922,1,3,1,-5,-5,-5,-5
2923,1,3,1,7,12,1,120000
2924,1,3,1,-5,-5,-5,-5
2925,1,3,1,-5,-5,-5,-5
2926,5,3,2,-5,-5,-5,-5
2927,1,3,1,-5,-5,-5,-5
2928,5,3,2,11,16,1,301800
2929,5,3,2,10,18,0,94000
2930,5,3,2,7,16,1,-33400
2931,1,3,1,-5,-5,-5,-5
2932,1,3,1,-5,-5,-5,-5
2933,1,3,1,7,3,1,-3
2934,5,3,2,7,13,1,86500
2935,5,3,2,-5,-5,-5,-5
2936,5,3,2,7,16,0,26900
2937,1,3,1,-5,-5,-5,-5
2938,5,3,2,7,13,1,568600
2939,1,3,1,9,16,1,-49300
2940,5,3,2,9,17,1,-3
2941,1,3,1,3,20,0,1175950
2942,7,2,2,2,12,0,0
2943,5,3,2,-5,-5,-5,-5
2944,3,2,1,4,12,1,-244433
2945,1,3,1,10,14,1,-15500
2946,5,3,2,7,16,0,-3
2947,5,3,2,-5,-5,-5,-5
2948,5,3,2,7,16,1,-3
2949,5,3,2,7,16,1,-3
2950,1,3,1,7,16,1,404500
2951,3,2,1,11,9,1,500
2952,5,3,2,11,14,1,62000
2953,1,3,1,11,11,0,4300
2954,1,3,1,-5,-5,-5,-5
2955,5,3,2,11,16,1,-3
2956,1,3,1,-5,-5,-5,-5
2957,1,3,1,10,18,1,-3
2958,1,3,1,2,16,1,735700
2959,5,3,2,7,20,1,1245500
2960,1,3,1,10,12,0,19976
2961,5,3,2,7,19,1,1306000
2962,1,3,1,7,16,1,823700
2963,1,3,1,5,16,0,-3
2964,5,3,2,7,16,1,3749941
2965,4,1,1,7,10,1,408000
2966,4,1,1,-5,-5,-5,-5
2967,4,1,1,-5,-5,-5,-5
2968,4,1,1,10,10,0,103200
2969,8,1,2,-5,-5,-5,-5
2970,8,1,2,7,12,0,-3
2971,4,1,1,7,9,1,-350
2972,1,3,1,-5,-5,-5,-5
2973,1,3,1,7,12,1,-375444
2974,1,3,1,1,12,1,132300
2975,1,3,1,7,14,0,79700
2976,1,3,1,10,12,1,29200
2977,1,3,1,10,12,1,1500
2978,5,3,2,7,12,1,554525
2979,5,3,2,7,14,0,107000
2980,1,3,1,9,20,0,755000
2981,1,3,1,-5,-5,-5,-5
2982,1,3,1,-5,-5,-5,-5
2983,5,3,2,7,14,0,216500
2984,1,3,1,7,16,1,1757733
2985,1,3,1,7,16,1,643991
2986,1,3,1,-5,-5,-5,-5
2987,5,3,2,8,17,1,-3
2988,1,3,1,8,16,1,606000
2989,1,3,1,8,19,1,495115
2990,5,3,2,7,12,0,330000
2991,5,3,2,8,16,1,80000
2992,1,3,1,-5,-5,-5,-5
2993,5,3,2,4,12,0,28155
2994,1,3,1,7,12,1,523000
2995,5,3,2,10,12,1,337500
2996,1,3,1,7,14,0,82900
2997,1,3,1,7,12,1,242600
2998,1,3,1,-5,-5,-5,-5
2999,1,3,1,11,12,1,291000
3000,5,3,2,-5,-5,-5,-5
3001,5,3,2,-5,-5,-5,-5
3002,4,1,1,-5,-5,-5,-5
3003,3,2,1,5,11,1,200
3004,7,2,2,9,12,0,0
3005,4,1,1,-5,-5,-5,-5
3006,7,2,2,-5,-5,-5,-5
3007,7,2,2,-5,-5,-5,-5
3008,3,2,1,-5,-5,-5,-5
3009,7,2,2,-5,-5,-5,-5
3010,7,2,2,2,12,0,0
3011,5,3,2,8,18,1,3749941
3012,5,3,2,8,12,1,-3
3013,6,3,2,2,13,0,-6000
3014,8,1,2,7,10,1,154600
3015,1,3,1,1,14,1,3749941
3016,1,3,1,1,16,1,359500
3017,1,3,1,4,18,0,-3
3018,1,3,1,9,16,0,352000
3019,1,3,1,7,18,0,80000
3020,5,3,2,7,12,1,84200
3021,5,3,2,7,12,1,-3
3022,1,3,1,-5,-5,-5,-5
3023,5,3,2,10,12,1,380000
3024,1,3,1,7,14,1,-3
3025,5,3,2,9,14,0,-18344
3026,1,3,1,-5,-5,-5,-5
3027,7,2,2,2,11,0,63353
3028,3,2,1,8,14,1,-40000
3029,3,2,1,-5,-5,-5,-5
3030,3,2,1,2,12,1,-3
3031,4,1,1,-5,-5,-5,-5
3032,3,2,1,-5,-5,-5,-5
3033,3,2,1,5,20,1,-140271
3034,5,3,2,-5,-5,-5,-5
3035,5,3,2,7,12,1,-86000
3036,5,3,2,7,12,1,498800
3037,1,3,1,7,12,1,834000
3038,5,3,2,-5,-5,-5,-5
3039,1,3,1,7,12,0,172700
3040,5,3,2,-5,-5,-5,-5
3041,6,3,2,5,14,0,-1200
3042,5,3,2,7,12,1,225600
3043,5,3,2,10,12,1,46000
3044,1,3,1,-5,-5,-5,-5
3045,5,3,2,10,9,1,0
3046,7,2,2,2,12,0,-3
3047,5,3,2,2,12,0,462000
3048,5,3,2,-5,-5,-5,-5
3049,5,3,2,-5,-5,-5,-5
3050,1,3,1,-5,-5,-5,-5
3051,5,3,2,7,10,1,15500
3052,1,3,1,10,12,0,-3
3053,5,3,2,-5,-5,-5,-5
3054,6,3,2,7,12,1,11350
3055,2,3,1,7,12,1,47600
3056,1,3,1,-5,-5,-5,-5
3057,5,3,2,10,12,1,115173
3058,5,3,2,7,16,1,569500
3059,1,3,1,7,12,0,135000
3060,1,3,1,7,14,1,3749941
3061,5,3,2,7,16,1,-3
3062,1,3,1,1,16,1,3749941
3063,1,3,1,10,12,1,190200
3064,7,2,2,2,16,1,-3
3065,7,2,2,-5,-5,-5,-5
3066,7,2,2,-5,-5,-5,-5
3067,3,2,1,-5,-5,-5,-5
3068,7,2,2,12,16,0,-3
3069,7,2,2,2,16,1,-3
3070,3,2,1,-5,-5,-5,-5
3071,3,2,1,2,14,1,-3
3072,3,2,1,9,12,1,0
3073,7,2,2,9,12,1,0
3074,7,2,2,-5,-5,-5,-5
3075,7,2,2,2,12,1,18600
3076,7,2,2,2,12,1,2500
3077,3,2,1,9,12,0,-3
3078,7,2,2,-5,-5,-5,-5
3079,5,3,2,6,12,1,62400
3080,5,3,2,11,13,0,-3
3081,5,3,2,10,12,0,-3
3082,1,3,1,1,12,1,-3
3083,1,3,1,2,12,0,93500
3084,1,3,1,6,16,1,1260397
3085,5,3,2,7,16,0,370500
3086,1,3,1,-5,-5,-5,-5
3087,2,3,1,-5,-5,-5,-5
3088,2,3,1,1,9,1,555000
3089,1,3,1,10,14,1,42060
3090,5,3,2,7,14,1,14505
3091,5,3,2,11,14,1,48800
3092,1,3,1,-5,-5,-5,-5
3093,5,3,2,7,12,0,-3
3094,5,3,2,7,12,0,100626
3095,5,3,2,1,12,0,7000
3096,5,3,2,7,13,1,-3
3097,1,3,1,7,16,1,308500
3098,5,3,2,11,12,1,141400
3099,5,3,2,11,16,1,-3
3100,1,3,1,4,12,1,350500
3101,5,3,2,-5,-5,-5,-5
3102,1,3,1,2,14,0,215000
3103,2,3,1,6,11,0,131200
3104,2,3,1,6,10,0,0
3105,5,3,2,1,12,0,41000
3106,5,3,2,7,18,1,46500
3107,5,3,2,10,14,0,168700
3108,5,3,2,7,12,1,369000
3109,5,3,2,7,19,1,269900
3110,5,3,2,-5,-5,-5,-5
3111,5,3,2,5,17,0,92400
3112,5,3,2,1,18,1,311245
3113,5,3,2,7,12,1,76100
3114,1,3,1,7,12,1,80800
3115,5,3,2,7,14,1,3749941
3116,1,3,1,7,12,1,683000
3117,5,3,2,-5,-5,-5,-5
3118,5,3,2,11,14,1,299000
3119,5,3,2,-5,-5,-5,-5
3120,5,3,2,7,15,1,65251
3121,5,3,2,-5,-5,-5,-5
3122,5,3,2,2,13,0,209500
3123,1,3,1,1,12,1,18100
3124,1,3,1,5,12,1,48500
3125,1,3,1,6,12,1,10000
3126,1,3,1,-5,-5,-5,-5
3127,1,3,1,10,12,1,63200
3128,1,3,1,10,12,1,36300
3129,5,3,2,1,12,1,250400
3130,5,3,2,-5,-5,-5,-5
3131,1,3,1,-5,-5,-5,-5
3132,1,3,1,-5,-5,-5,-5
3133,5,3,2,-5,-5,-5,-5
3134,5,3,2,10,13,0,260350
3135,5,3,2,-5,-5,-5,-5
3136,1,3,1,-5,-5,-5,-5
3137,1,3,1,6,18,1,18729
3138,1,3,1,7,12,1,500
3139,1,3,1,-5,-5,-5,-5
3140,1,3,1,-5,-5,-5,-5
3141,1,3,1,10,16,1,-3
3142,1,3,1,5,18,1,155100
3143,5,3,2,7,16,0,242896
3144,1,3,1,-5,-5,-5,-5
3145,5,3,2,4,16,1,676000
3146,5,3,2,4,18,1,384900
3147,1,3,1,-5,-5,-5,-5
3148,5,3,2,11,12,0,38200
3149,1,3,1,-5,-5,-5,-5
3150,5,3,2,7,16,1,686150
3151,5,3,2,7,12,1,27000
3152,1,3,1,7,16,0,523000
3153,5,3,2,7,16,1,-3
3154,5,3,2,-5,-5,-5,-5
3155,5,3,2,-5,-5,-5,-5
3156,5,3,2,8,18,1,-3
3157,5,3,2,8,16,1,1014250
3158,1,3,1,-5,-5,-5,-5
3159,1,3,1,7,14,0,2000
3160,1,3,1,7,17,1,-3
3161,1,3,1,7,14,1,-3
3162,5,3,2,1,16,1,-3
3163,5,3,2,7,12,0,238000
3164,5,3,2,7,12,1,304150
3165,5,3,2,7,12,0,209000
3166,1,3,1,7,16,1,300000
3167,5,3,2,7,16,1,1033433
3168,1,3,1,10,19,1,640480
3169,1,3,1,-5,-5,-5,-5
3170,1,3,1,8,19,1,3749941
3171,1,3,1,8,18,1,3749941
3172,1,3,1,8,20,1,260000
3173,1,3,1,8,20,1,1727109
3174,5,3,2,8,14,0,25030
3175,7,2,2,10,14,0,-3
3176,7,2,2,-5,-5,-5,-5
3177,3,2,1,2,12,1,3850
3178,7,2,2,-5,-5,-5,-5
3179,5,3,2,10,16,1,1500788
3180,1,3,1,-5,-5,-5,-5
3181,1,3,1,1,19,1,-3
3182,5,3,2,3,16,0,-3
3183,5,3,2,-5,-5,-5,-5
3184,5,3,2,-5,-5,-5,-5
3185,5,3,2,-5,-5,-5,-5
3186,1,3,1,3,16,1,-3
3187,1,3,1,1,20,1,3749941
3188,7,2,2,-5,-5,-5,-5
3189,3,2,1,-5,-5,-5,-5
3190,7,2,2,10,13,0,-3
3191,7,2,2,9,14,0,-3
3192,3,2,1,11,13,0,12400
3193,1,3,1,7,14,1,764000
3194,1,3,1,7,12,1,139900
3195,1,3,1,7,12,1,113500
3196,1,3,1,5,12,1,591400
3197,5,3,2,5,12,1,15400
3198,5,3,2,10,18,1,270000
3199,5,3,2,6,12,1,79000
3200,1,3,1,10,12,0,-4950
3201,5,3,2,10,16,0,-22700
3202,1,3,1,-5,-5,-5,-5
3203,1,3,1,4,12,1,-3
3204,5,3,2,-5,-5,-5,-5
3205,5,3,2,11,16,1,194000
3206,5,3,2,4,16,1,202200
3207,1,3,1,9,12,1,752500
3208,1,3,1,7,16,1,1312000
3209,5,3,2,-5,-5,-5,-5
3210,1,3,1,-5,-5,-5,-5
3211,1,3,1,-5,-5,-5,-5
3212,5,3,2,-5,-5,-5,-5
3213,1,3,1,-5,-5,-5,-5
3214,1,3,1,7,12,1,-3
3215,1,3,1,7,12,1,164100
3216,1,3,1,7,18,1,725000
3217,5,3,2,-5,-5,-5,-5
3218,5,3,2,7,13,1,66150
3219,1,3,1,7,14,0,274500
3220,1,3,1,-5,-5,-5,-5
3221,5,3,2,10,15,1,83045
3222,5,3,2,-5,-5,-5,-5
3223,5,3,2,-5,-5,-5,-5
3224,1,3,1,4,18,1,3749941
3225,5,3,2,7,14,1,377700
3226,1,3,1,-5,-5,-5,-5
3227,5,3,2,10,16,1,437000
3228,1,3,1,1,16,1,303000
3229,1,3,1,10,20,1,-60000
3230,1,3,1,7,10,1,-2000
3231,5,3,2,10,14,1,71100
3232,1,3,1,5,12,1,268200
3233,5,3,2,-5,-5,-5,-5
3234,5,3,2,1,14,1,434600
3235,1,3,1,1,12,0,-1790
3236,5,3,2,10,12,0,29650
3237,5,3,2,4,14,1,83000
3238,7,2,2,3,20,1,134700
3239,3,2,1,-5,-5,-5,-5
3240,1,3,1,10,18,1,1007000
3241,2,3,1,-5,-5,-5,-5
3242,5,3,2,1,14,1,439000
3243,5,3,2,6,16,1,1624397
3244,5,3,2,9,18,1,179000
3245,5,3,2,4,12,1,389100
3246,1,3,1,6,12,1,-3
3247,1,3,1,6,12,1,1752460
3248,6,3,2,1,12,1,-61000
3249,5,3,2,11,14,1,160500
3250,5,3,2,9,14,1,272100
3251,1,3,1,10,12,1,112000
3252,5,3,2,4,12,0,-3
3253,5,3,2,4,12,0,-3
3254,5,3,2,4,12,1,65000
3255,1,3,1,4,12,1,514000
3256,1,3,1,6,20,1,2060328
3257,1,3,1,10,18,0,1610500
3258,1,3,1,9,13,1,-3
3259,7,2,2,2,10,0,0
3260,7,2,2,-5,-5,-5,-5
3261,3,2,1,2,10,1,510
3262,5,3,2,-5,-5,-5,-5
3263,1,3,1,7,16,1,944733
3264,4,1,1,7,11,1,7000
3265,4,1,1,7,12,1,5000
3266,8,1,2,12,16,0,-4600
3267,4,1,1,11,12,0,-28000
3268,8,1,2,9,11,1,0
3269,8,1,2,7,13,1,74000
3270,4,1,1,-5,-5,-5,-5
3271,2,3,1,10,8,0,5000
3272,2,3,1,-5,-5,-5,-5
3273,8,1,2,7,12,0,2000
3274,4,1,1,7,10,1,145400
3275,1,3,1,7,16,0,-3
3276,5,3,2,7,20,0,469540
3277,2,3,1,-5,-5,-5,-5
3278,6,3,2,7,18,1,1015896
3279,2,3,1,7,12,0,-3
3280,6,3,2,7,12,1,-3
3281,4,1,1,7,14,1,23000
3282,4,1,1,7,14,1,-3
3283,4,1,1,-5,-5,-5,-5
3284,1,3,1,11,16,0,501000
3285,8,1,2,7,12,0,299800
3286,8,1,2,-5,-5,-5,-5
3287,5,3,2,7,14,1,552000
3288,8,1,2,-5,-5,-5,-5
3289,1,3,1,-5,-5,-5,-5
3290,1,3,1,6,18,1,456100
3291,5,3,2,7,16,1,653000
3292,5,3,2,-5,-5,-5,-5
3293,5,3,2,-5,-5,-5,-5
3294,5,3,2,10,18,1,628000
3295,5,3,2,-5,-5,-5,-5
3296,1,3,1,-5,-5,-5,-5
3297,3,2,1,10,12,0,0
3298,8,1,2,-5,-5,-5,-5
3299,8,1,2,-5,-5,-5,-5
3300,8,1,2,-5,-5,-5,-5
3301,4,1,1,7,12,1,-5000
3302,4,1,1,7,13,1,64200
3303,5,3,2,8,16,0,644300
3304,8,1,2,7,13,1,-3
3305,8,1,2,7,18,1,554000
3306,7,2,2,12,12,0,-500
3307,3,2,1,1,13,1,30000
3308,7,2,2,7,13,0,0
3309,7,2,2,11,17,1,-3
3310,3,2,1,2,12,0,136000
3311,3,2,1,2,12,1,5000
3312,7,2,2,2,15,0,7000
3313,2,3,1,7,9,1,1800
3314,2,3,1,-5,-5,-5,-5
3315,7,2,2,2,17,0,-107840
3316,7,2,2,5,16,0,-3
3317,7,2,2,1,15,0,32002
3318,3,2,1,-5,-5,-5,-5
3319,2,3,1,12,14,0,-3
3320,6,3,2,-5,-5,-5,-5
3321,6,3,2,2,10,0,-44000
3322,7,2,2,2,14,0,17000
3323,3,2,1,-5,-5,-5,-5
3324,3,2,1,10,12,1,-36500
3325,7,2,2,2,12,1,-1000
3326,3,2,1,-5,-5,-5,-5
3327,3,2,1,11,12,0,25388
3328,1,3,1,-5,-5,-5,-5
3329,1,3,1,4,14,0,22500
3330,1,3,1,4,13,1,662600
3331,1,3,1,12,13,0,26000
3332,5,3,2,9,12,0,-48900
3333,1,3,1,9,12,1,19500
3334,3,2,1,2,10,1,16000
3335,1,3,1,-5,-5,-5,-5
3336,1,3,1,-5,-5,-5,-5
3337,5,3,2,1,18,1,393500
3338,5,3,2,4,16,1,265668
3339,5,3,2,-5,-5,-5,-5
3340,1,3,1,-5,-5,-5,-5
3341,5,3,2,4,20,1,60700
3342,5,3,2,11,14,1,-7300
3343,5,3,2,7,11,1,36275
3344,1,3,1,-5,-5,-5,-5
3345,5,3,2,7,12,1,-3
3346,1,3,1,7,12,0,153500
3347,5,3,2,7,12,1,46500
3348,5,3,2,-5,-5,-5,-5
3349,5,3,2,-5,-5,-5,-5
3350,5,3,2,7,14,0,113500
3351,1,3,1,7,15,0,1305500
3352,5,3,2,5,16,1,287500
3353,1,3,1,4,12,0,51330
3354,1,3,1,4,15,1,-55000
3355,5,3,2,4,15,1,-3
3356,1,3,1,2,13,0,-11800
3357,1,3,1,7,16,1,307000
3358,5,3,2,-5,-5,-5,-5
3359,1,3,1,5,14,1,53200
3360,5,3,2,7,19,1,-3
3361,1,3,1,6,20,1,1810400
3362,5,3,2,5,12,0,-3480
3363,5,3,2,5,12,0,-3
3364,5,3,2,-5,-5,-5,-5
3365,5,3,2,7,14,0,-3
3366,1,3,1,-5,-5,-5,-5
3367,5,3,2,10,20,1,682000
3368,5,3,2,10,16,1,1806333
3369,5,3,2,7,16,1,3749941
3370,5,3,2,11,18,1,507500
3371,7,2,2,2,11,0,2000
3372,1,3,1,7,16,0,-3
3373,5,3,2,-5,-5,-5,-5
3374,1,3,1,7,12,1,140000
3375,1,3,1,7,16,1,252600
3376,1,3,1,-5,-5,-5,-5
3377,5,3,2,-5,-5,-5,-5
3378,5,3,2,11,16,1,223500
3379,1,3,1,10,18,1,949000
3380,1,3,1,7,14,1,1094000
3381,1,3,1,7,12,1,16500
3382,1,3,1,-5,-5,-5,-5
3383,5,3,2,-5,-5,-5,-5
3384,5,3,2,-5,-5,-5,-5
3385,1,3,1,-1,14,1,-3
3386,5,3,2,-5,-5,-5,-5
3387,7,2,2,7,16,1,-43800
3388,3,2,1,-5,-5,-5,-5
3389,1,3,1,7,12,1,14500
3390,3,2,1,10,19,1,47250
3391,3,2,1,11,16,1,-3
3392,3,2,1,11,13,0,-2500
3393,7,2,2,5,18,1,3200
3394,3,2,1,11,18,0,914109
3395,2,3,1,-5,-5,-5,-5
3396,1,3,1,-5,-5,-5,-5
3397,5,3,2,-5,-5,-5,-5
3398,1,3,1,-5,-5,-5,-5
3399,1,3,1,12,13,0,38900
3400,1,3,1,4,12,1,-3
3401,1,3,1,7,12,0,427600
3402,5,3,2,2,16,0,329000
3403,1,3,1,10,12,1,870000
3404,1,3,1,-5,-5,-5,-5
3405,1,3,1,1,15,1,-36771
3406,5,3,2,2,17,0,17550
3407,5,3,2,-5,-5,-5,-5
3408,5,3,2,-5,-5,-5,-5
3409,5,3,2,-5,-5,-5,-5
3410,1,3,1,7,16,1,531750
3411,5,3,2,-5,-5,-5,-5
3412,5,3,2,-5,-5,-5,-5
3413,5,3,2,4,12,1,320300
3414,1,3,1,-5,-5,-5,-5
3415,1,3,1,-5,-5,-5,-5
3416,5,3,2,7,12,1,361505
3417,1,3,1,7,12,1,-2900
3418,5,3,2,7,12,1,473000
3419,5,3,2,7,14,1,1112788
3420,1,3,1,7,15,1,94500
3421,5,3,2,7,14,1,384000
3422,5,3,2,12,17,1,849000
3423,5,3,2,4,16,1,23000
3424,5,3,2,12,14,1,221200
3425,1,3,1,-5,-5,-5,-5
3426,5,3,2,7,16,1,672000
3427,5,3,2,-5,-5,-5,-5
3428,5,3,2,11,18,0,-3
3429,5,3,2,1,16,0,812500
3430,5,3,2,1,16,0,822200
3431,1,3,1,1,17,1,91500
3432,5,3,2,6,13,1,182029
3433,5,3,2,1,16,0,3749941
3434,8,1,2,11,16,0,985000
3435,8,1,2,7,4,0,2500
3436,8,1,2,7,6,0,-6500
3437,4,1,1,-5,-5,-5,-5
3438,8,1,2,7,8,0,28200
3439,1,3,1,-5,-5,-5,-5
3440,1,3,1,7,10,1,505500
3441,1,3,1,10,11,0,4300
3442,5,3,2,-5,-5,-5,-5
3443,1,3,1,-5,-5,-5,-5
3444,5,3,2,5,12,0,18000
3445,5,3,2,10,12,1,1898588
3446,5,3,2,-5,-5,-5,-5
3447,7,2,2,2,11,0,13000
3448,5,3,2,-5,-5,-5,-5
3449,1,3,1,-5,-5,-5,-5
3450,1,3,1,-5,-5,-5,-5
3451,5,3,2,11,18,0,85800
3452,5,3,2,4,12,1,37200
3453,1,3,1,4,12,1,65500
3454,5,3,2,9,14,1,519000
3455,1,3,1,-5,-5,-5,-5
3456,5,3,2,7,12,0,661000
3457,5,3,2,7,14,1,-1230
3458,5,3,2,7,14,1,207200
3459,5,3,2,7,18,1,134000
3460,1,3,1,7,13,0,128700
3461,1,3,1,7,14,1,120000
3462,1,3,1,-5,-5,-5,-5
3463,1,3,1,4,16,0,12000
3464,1,3,1,4,16,1,-3
3465,5,3,2,4,13,1,-31100
3466,1,3,1,4,16,1,483000
3467,5,3,2,7,12,1,597900
3468,1,3,1,7,14,0,566200
3469,5,3,2,1,18,0,360050
3470,1,3,1,-5,-5,-5,-5
3471,1,3,1,5,12,1,-3
3472,1,3,1,-5,-5,-5,-5
3473,1,3,1,10,12,0,389600
3474,1,3,1,7,12,1,184400
3475,5,3,2,11,12,0,218000
3476,5,3,2,12,13,0,676000
3477,5,3,2,-5,-5,-5,-5
3478,1,3,1,-5,-5,-5,-5
3479,1,3,1,7,12,1,651000
3480,5,3,2,-5,-5,-5,-5
3481,5,3,2,4,13,0,29100
3482,1,3,1,7,13,1,536600
3483,1,3,1,7,14,1,216000
3484,1,3,1,-5,-5,-5,-5
3485,5,3,2,-5,-5,-5,-5
3486,5,3,2,11,16,1,977136
3487,5,3,2,7,12,1,111325
3488,5,3,2,-5,-5,-5,-5
3489,1,3,1,7,16,0,897109
3490,1,3,1,-5,-5,-5,-5
3491,5,3,2,10,12,0,471500
3492,1,3,1,7,12,1,61500
3493,1,3,1,7,12,0,476000
3494,1,3,1,2,15,0,-3
3495,1,3,1,12,12,1,68000
3496,5,3,2,7,14,1,493000
3497,1,3,1,7,16,1,322100
3498,5,3,2,-5,-5,-5,-5
3499,1,3,1,-5,-5,-5,-5
3500,8,1,2,-5,-5,-5,-5
3501,5,3,2,-5,-5,-5,-5
3502,8,1,2,7,12,1,1350162
3503,1,3,1,-5,-5,-5,-5
3504,5,3,2,-5,-5,-5,-5
3505,5,3,2,7,14,1,472500
3506,5,3,2,4,16,0,821000
3507,1,3,1,-5,-5,-5,-5
3508,5,3,2,7,12,1,71000
3509,1,3,1,7,11,0,130000
3510,1,3,1,-5,-5,-5,-5
3511,5,3,2,4,12,1,31500
3512,5,3,2,7,12,1,-3
3513,1,3,1,1,12,1,2300
3514,5,3,2,10,12,1,-83300
3515,1,3,1,6,18,1,444000
3516,1,3,1,7,12,0,22000
3517,1,3,1,-5,-5,-5,-5
3518,5,3,2,-5,-5,-5,-5
3519,5,3,2,7,12,1,-3
3520,1,3,1,7,18,1,278000
3521,1,3,1,11,14,1,-5600
3522,5,3,2,7,12,1,122000
3523,5,3,2,7,12,1,162150
3524,5,3,2,9,14,0,-37800
3525,1,3,1,-5,-5,-5,-5
3526,1,3,1,-5,-5,-5,-5
3527,5,3,2,7,12,1,1321000
3528,1,3,1,-5,-5,-5,-5
3529,1,3,1,-5,-5,-5,-5
3530,1,3,1,7,16,1,417500
3531,5,3,2,1,13,1,239200
3532,5,3,2,9,12,0,197200
3533,2,3,1,7,15,1,460000
3534,4,1,1,-5,-5,-5,-5
3535,8,1,2,7,19,1,1316245
3536,8,1,2,-5,-5,-5,-5
3537,5,3,2,1,12,1,138500
3538,3,2,1,2,14,1,2600
3539,3,2,1,11,11,0,0
3540,3,2,1,10,11,1,2777
3541,3,2,1,-5,-5,-5,-5
3542,7,2,2,7,11,0,108000
3543,7,2,2,12,12,0,-17536
3544,7,2,2,12,13,0,900
3545,7,2,2,2,14,1,-34100
3546,7,2,2,7,15,0,-9400
3547,7,2,2,2,15,1,-3
3548,7,2,2,2,13,1,-28300
3549,5,3,2,4,12,0,10
3550,1,3,1,4,12,1,63510
3551,5,3,2,4,16,1,579000
3552,5,3,2,4,14,1,481100
3553,1,3,1,7,12,1,-12500
3554,5,3,2,10,10,1,289900
3555,5,3,2,7,12,1,209045
3556,5,3,2,4,12,1,589000
3557,5,3,2,4,12,1,146000
3558,5,3,2,4,16,1,638500
3559,1,3,1,4,12,0,31200
3560,5,3,2,4,12,1,245800
3561,1,3,1,7,12,1,-13754
3562,2,3,1,4,12,0,1130
3563,2,3,1,4,12,1,32100
3564,6,3,2,11,12,1,228300
3565,5,3,2,-5,-5,-5,-5
3566,5,3,2,7,12,0,350000
3567,1,3,1,1,14,1,99500
3568,5,3,2,11,12,1,160100
3569,1,3,1,9,12,1,443500
3570,2,3,1,7,12,1,-3
3571,2,3,1,-5,-5,-5,-5
3572,6,3,2,-5,-5,-5,-5
3573,5,3,2,11,14,1,297000
3574,5,3,2,10,14,1,615000
3575,1,3,1,7,12,0,625500
3576,5,3,2,7,13,1,-3
3577,1,3,1,-5,-5,-5,-5
3578,1,3,1,1,12,1,328750
3579,1,3,1,4,12,1,3749941
3580,1,3,1,4,12,1,373000
3581,1,3,1,7,16,1,1063000
3582,1,3,1,7,18,1,1488133
3583,1,3,1,9,19,1,253500
3584,5,3,2,4,11,0,-3
3585,1,3,1,-5,-5,-5,-5
3586,5,3,2,7,14,1,228250
3587,1,3,1,10,14,1,719000
3588,1,3,1,9,17,1,187550
3589,1,3,1,7,12,1,75900
3590,1,3,1,11,14,0,75000
3591,1,3,1,12,12,1,41800
3592,1,3,1,7,12,1,444000
3593,1,3,1,7,12,1,59102
3594,5,3,2,10,12,1,221000
3595,1,3,1,10,12,1,3749941
3596,1,3,1,-5,-5,-5,-5
3597,5,3,2,4,14,1,257800
3598,1,3,1,7,12,1,-3
3599,1,3,1,-5,-5,-5,-5
