"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","S2011600","S2261100","S2987800"
2236,2,1,1981,1,4,-4,5,3
2237,1,3,1983,1,4,10650,3,2
2238,1,4,1981,1,4,-4,1,2
2239,2,1,1981,1,4,-5,-5,-5
2240,2,1,1981,1,4,-5,-5,-5
2241,1,4,1983,1,4,-5,-5,-5
2242,1,2,1980,1,2,-5,-5,-5
2243,2,1,1983,1,2,-5,-5,-5
2244,2,9,1982,1,4,-4,1,2
2245,2,3,1984,1,4,-4,3,2
2246,1,8,1981,1,4,-4,5,2
2247,2,3,1982,1,2,-4,3,1
2248,2,12,1984,1,4,-4,3,3
2249,2,3,1980,1,4,-5,-5,-5
2250,1,10,1981,1,4,-4,3,3
2251,1,3,1984,1,4,-3,3,2
2252,1,2,1981,1,4,-4,5,2
2253,1,6,1982,1,4,-4,3,4
2254,1,1,1981,1,4,-4,3,2
2255,1,1,1981,1,4,-4,3,2
2256,1,8,1983,1,4,1500,3,5
2257,1,6,1980,1,4,2800,3,1
2258,2,9,1984,1,4,-5,-5,-5
2260,2,12,1984,1,4,5000,1,2
2261,1,3,1980,1,4,-4,3,2
2262,1,8,1983,1,4,13220,3,6
2263,2,3,1982,1,4,-4,2,8
2264,1,11,1983,1,4,4600,3,1
2265,2,1,1982,1,4,-4,3,5
2266,1,3,1984,1,4,9700,3,4
2267,1,11,1982,1,4,1900,1,1
2268,2,9,1981,1,4,-5,-5,-5
2269,1,10,1982,1,4,-5,-5,-5
2270,2,12,1981,1,4,-4,3,4
2271,2,9,1981,1,4,-4,3,1
2272,1,9,1983,1,4,-5,-5,-5
2273,1,12,1981,1,4,-4,3,1
2274,1,10,1984,1,2,-4,1,1
2275,1,9,1980,1,4,-4,3,1
2276,1,6,1983,1,4,8800,3,1
2277,2,12,1980,1,2,-4,3,4
2278,1,7,1982,1,2,-4,3,2
2279,1,2,1983,1,4,-4,3,6
2280,2,8,1984,1,2,-4,3,1
2281,1,2,1981,1,1,-4,3,3
2282,1,12,1984,1,1,-4,1,1
2283,2,3,1982,1,1,-4,1,2
2284,2,12,1980,1,1,-4,3,5
2285,1,9,1984,1,2,2500,1,1
2286,2,6,1981,1,4,-4,1,2
2287,2,1,1981,1,4,-5,-5,-5
2288,1,7,1982,1,4,2653,3,3
2289,1,7,1982,1,4,-5,-5,-5
2290,1,10,1983,1,4,20200,3,6
2291,1,3,1981,1,4,-4,3,1
2292,1,12,1980,1,4,-4,3,3
2293,2,4,1980,1,4,-4,3,1
2294,1,1,1981,1,4,-4,4,3
2295,1,8,1981,1,4,-4,1,2
2296,1,6,1983,1,4,-5,-5,-5
2297,1,5,1981,1,4,-4,3,1
2298,2,9,1984,1,4,-4,3,1
2299,2,9,1984,1,4,-4,3,1
2300,1,9,1980,1,1,-5,-5,-5
2301,1,9,1983,1,1,7000,3,2
2302,1,4,1982,1,1,-4,3,3
2303,1,7,1983,1,1,30500,3,2
2304,2,4,1980,1,4,-4,5,1
2305,1,4,1982,1,4,-4,2,3
2306,1,11,1980,1,4,-5,-5,-5
2307,2,8,1984,1,4,-4,3,1
2308,1,1,1983,1,4,-4,3,1
2309,1,12,1984,1,4,7500,3,3
2310,1,11,1980,1,4,-4,3,2
2311,2,10,1983,1,4,7950,3,1
2312,1,2,1981,1,4,-4,1,1
2313,1,7,1982,1,4,-4,3,2
2314,1,7,1984,1,4,-4,1,6
2315,1,1,1982,1,4,-4,1,4
2316,1,10,1982,1,1,-4,3,7
2317,2,3,1984,1,1,-4,1,2
2318,2,10,1980,1,4,-4,3,1
2319,1,10,1982,1,4,-4,3,2
2320,2,1,1980,1,4,-4,3,1
2321,2,9,1982,1,4,-4,2,3
2322,2,7,1984,1,4,-4,1,1
2323,2,12,1980,1,4,-4,1,2
2324,2,9,1982,1,4,-4,1,1
2325,1,11,1983,1,4,-4,1,1
2326,1,7,1981,1,4,-4,3,6
2327,1,3,1982,1,4,-5,-5,-5
2328,1,2,1982,1,4,-4,3,3
2329,1,9,1981,1,4,-4,3,6
2330,1,9,1984,1,4,21750,3,4
2331,1,9,1982,1,4,-4,3,1
2332,2,12,1984,1,4,22000,3,1
2333,1,9,1981,1,4,-4,5,2
2334,2,2,1981,1,4,-4,3,1
2335,2,7,1984,1,4,-4,3,2
2336,2,2,1983,1,4,10766,3,4
2337,2,2,1982,1,4,-4,4,3
2338,1,6,1984,1,4,-4,3,4
2339,2,4,1980,1,4,-4,3,1
2340,2,8,1982,1,4,-5,-5,-5
2341,1,8,1984,1,4,-5,-5,-5
2342,1,3,1981,1,4,-4,3,6
2343,2,5,1983,1,4,-3,3,1
2344,2,4,1984,1,4,42700,3,5
2345,2,9,1981,1,4,-4,5,6
2346,1,5,1981,1,4,-4,5,3
2347,2,3,1984,1,4,-4,3,1
2348,2,6,1983,1,4,-2300,3,1
2349,1,4,1980,1,4,-4,3,1
2350,1,3,1982,1,4,-4,3,1
2351,2,12,1984,1,4,-4,3,2
2352,1,5,1980,1,4,-4,3,2
2353,2,11,1981,1,4,-5,-5,-5
2354,2,6,1980,1,2,-5,-5,-5
2355,1,9,1981,1,2,-5,-5,-5
2356,2,7,1984,1,2,-4,1,1
2357,1,2,1983,1,1,2500,1,3
2358,1,7,1984,1,1,2500,1,1
2359,2,2,1980,1,1,-4,2,4
2360,1,5,1983,1,1,11000,2,-1
2361,1,5,1981,1,1,-4,2,1
2362,1,5,1983,1,1,8500,3,4
2363,1,6,1980,1,1,-5,-5,-5
2364,2,8,1983,1,1,-500,3,5
2365,1,4,1984,1,4,9503,3,1
2366,2,12,1981,1,2,-4,3,1
2367,1,7,1980,1,4,-5,-5,-5
2368,2,6,1982,1,4,-4,3,1
2369,1,10,1983,1,4,3810,3,1
2370,1,5,1981,1,4,-4,1,2
2371,1,7,1982,1,4,-4,3,1
2372,1,7,1981,1,4,-4,2,1
2373,1,3,1981,1,4,-4,4,2
2374,1,9,1982,1,4,-4,3,1
2375,1,6,1984,1,4,2650,3,1
2376,1,2,1980,1,4,-4,5,3
2377,1,7,1983,1,4,-6200,3,5
2378,2,7,1980,1,4,-4,6,1
2379,1,2,1983,1,4,25500,3,1
2380,2,9,1984,1,4,-4,3,5
2381,1,11,1984,1,4,6800,3,1
2382,1,11,1981,1,2,-4,3,5
2383,1,2,1981,1,1,-4,3,3
2384,1,6,1981,1,4,-4,5,4
2385,1,2,1983,1,4,-11240,3,1
2386,2,8,1980,1,4,-4,5,1
2387,1,12,1981,1,4,-4,1,2
2388,1,5,1982,1,4,-4,3,2
2389,1,7,1981,1,1,-4,4,1
2390,2,7,1982,1,1,-4,1,1
2391,2,6,1983,1,1,5300,3,1
2392,2,4,1981,1,4,-4,5,2
2393,1,5,1983,1,4,-3,3,2
2394,1,10,1982,1,4,-4,3,3
2395,1,11,1984,1,4,-4,3,6
2396,2,12,1980,1,4,-4,5,3
2397,1,2,1981,1,4,-4,5,6
2398,1,9,1982,1,4,-4,3,7
2399,2,7,1982,1,4,-4,4,2
2400,2,7,1982,1,4,-4,3,2
2401,2,7,1982,1,4,-4,3,1
2402,1,12,1982,1,4,-4,3,1
2403,2,7,1980,1,4,-4,3,6
2404,1,12,1984,1,4,25500,3,7
2405,2,5,1981,1,4,-4,4,1
2406,2,3,1984,1,4,-2500,4,1
2407,1,9,1980,1,4,-4,3,1
2408,1,12,1982,1,4,-4,3,1
2409,1,8,1981,1,4,-4,3,1
2410,1,11,1983,1,4,22700,3,1
2411,1,5,1982,1,4,-4,3,1
2412,2,12,1980,1,4,-5,-5,-5
2413,2,4,1984,1,2,-5,-5,-5
2414,1,1,1980,1,2,-4,4,2
2415,2,8,1980,1,4,-5,-5,-5
2416,2,1,1980,1,4,-4,5,1
2417,1,2,1983,1,4,22700,2,2
2418,1,10,1981,1,2,-4,3,3
2419,1,1,1984,1,2,2500,1,1
2420,2,12,1984,1,4,-3,3,1
2421,1,9,1980,1,4,-5,-5,-5
2422,1,12,1981,1,4,-4,2,2
2423,1,9,1980,1,4,-4,3,1
2424,2,3,1984,1,4,-5,-5,-5
2425,1,11,1980,1,4,-4,3,2
2426,2,3,1980,1,4,-5,-5,-5
2427,2,8,1981,1,4,-4,1,1
2428,1,5,1980,1,4,-5,-5,-5
2429,1,5,1982,1,4,-5,-5,-5
2430,2,3,1981,1,4,-4,3,4
2431,1,10,1984,1,4,8000,3,2
2432,2,9,1980,1,4,-4,3,1
2433,2,9,1983,1,4,-3,3,1
2434,1,3,1980,1,4,-4,5,1
2435,2,11,1983,1,4,13000,3,3
2436,1,3,1980,1,4,-5,-5,-5
2437,2,3,1984,1,4,-5,-5,-5
2438,2,7,1983,1,4,2503,1,4
2439,1,12,1982,1,4,52000,4,7
2440,2,7,1980,1,1,-4,3,5
2441,1,10,1981,1,1,-4,3,6
2442,1,5,1982,1,2,-5,-5,-5
2443,2,8,1984,1,2,-4,3,2
2444,2,2,1984,1,1,-5,-5,-5
2445,2,11,1982,1,4,-4,1,1
2446,2,11,1984,1,4,-4,1,1
2447,1,6,1980,1,4,-4,3,3
2448,2,2,1981,1,4,-4,5,6
2449,1,3,1981,1,4,-5,-5,-5
2450,2,4,1982,1,4,-5,-5,-5
2451,1,7,1982,1,4,-5,-5,-5
2452,2,7,1982,1,4,-4,1,1
2453,1,12,1983,1,4,-4,3,1
2454,2,1,1982,1,2,-5,-5,-5
2455,1,8,1983,1,2,-5,-5,-5
2456,2,10,1982,1,4,-4,2,6
2457,2,10,1983,1,4,13666,2,2
2458,1,1,1984,1,4,-11491,3,1
2459,1,1,1981,1,4,-5,-5,-5
2460,1,6,1983,1,4,-5,-5,-5
2461,1,8,1982,1,4,-4,3,2
2462,2,7,1981,1,4,-4,3,1
2463,1,7,1984,1,4,2500,3,4
2464,2,2,1980,1,4,-4,5,3
2465,2,8,1982,1,4,-4,3,3
2466,1,1,1984,1,4,-4,3,3
2467,1,12,1984,1,4,8500,3,2
2468,1,9,1982,1,4,-4,3,2
2469,1,12,1981,1,4,-4,3,7
2470,1,11,1982,1,4,-4,3,1
2471,2,4,1981,1,4,-5,-5,-5
2472,2,8,1983,1,4,-14020,3,3
2473,2,5,1982,1,4,-4,3,7
2474,2,1,1984,1,4,-4,1,1
2475,2,8,1980,1,2,-4,3,3
2476,2,4,1983,1,4,2900,3,3
2477,1,6,1984,1,4,-4,3,1
2478,2,8,1980,1,4,-4,3,1
2479,1,2,1982,1,4,-4,3,3
2480,1,4,1981,1,4,-4,3,6
2481,1,2,1984,1,4,4205,3,2
2482,2,10,1981,1,4,-4,3,2
2483,1,10,1983,1,4,15460,3,2
2484,1,10,1983,1,4,1000,3,2
2485,1,3,1983,1,4,9920,3,1
2486,2,1,1980,1,4,-4,3,2
2487,1,6,1982,1,4,-4,3,1
2488,2,8,1984,1,4,-4,1,2
2489,2,8,1980,1,4,-5,-5,-5
2490,1,7,1983,1,4,4500,3,1
2491,2,8,1984,1,4,-4,3,1
2492,1,10,1980,1,4,-4,3,1
2493,2,4,1982,1,4,-4,3,5
2494,2,2,1984,1,4,-4,3,3
2495,2,5,1980,1,4,-5,-5,-5
2496,1,10,1982,1,4,-4,3,1
2497,1,8,1983,1,4,-2300,3,3
2498,1,7,1980,1,4,-4,3,1
2499,1,10,1981,1,4,-4,4,6
2500,1,2,1983,1,4,1500,3,1
2501,2,8,1983,1,2,5100,3,1
2502,2,9,1982,1,4,-5,-5,-5
2503,1,9,1980,1,4,-4,3,1
2504,2,6,1984,1,4,-4,3,2
2505,2,8,1982,1,4,-4,2,1
2506,1,9,1984,1,4,-4,1,2
2507,1,3,1984,1,4,7500,3,4
2508,1,3,1982,1,4,-4,3,2
2509,2,9,1980,1,4,-4,3,1
2510,2,5,1983,1,4,1811,3,3
2511,1,2,1980,1,4,-5,-5,-5
2512,2,7,1981,1,4,-4,3,6
2513,1,4,1980,1,4,-4,5,5
2514,1,9,1981,1,4,-5,-5,-5
2515,1,9,1983,1,4,3050,3,3
2516,1,2,1981,1,4,-4,1,2
2517,1,4,1984,1,4,12900,3,1
2518,2,4,1981,1,4,-4,3,2
2519,1,4,1981,1,4,-4,4,2
2520,1,2,1981,1,4,-4,1,5
2521,2,12,1983,1,4,-4,3,2
2522,1,9,1981,1,4,-4,3,6
2523,1,5,1984,1,4,-4,3,5
2524,1,11,1982,1,4,-4,3,5
2525,1,7,1984,1,4,3500,3,6
2526,1,2,1981,1,4,-4,3,1
2527,1,1,1982,1,4,-4,3,7
2528,2,9,1981,1,4,-4,5,4
2529,2,2,1981,1,4,-4,3,2
2530,1,10,1980,1,4,-4,3,1
2531,2,1,1982,1,4,-4,3,1
2532,2,3,1980,1,4,-5,-5,-5
2533,1,1,1982,1,4,-4,1,5
2534,1,8,1983,1,4,2300,1,1
2535,1,8,1981,1,4,-5,-5,-5
2536,1,8,1981,1,4,-4,3,1
2537,1,2,1983,1,4,2175,3,2
2538,2,4,1980,1,4,-5,-5,-5
2539,2,3,1983,1,4,-5,-5,-5
2540,2,5,1982,1,4,-5,-5,-5
2541,1,7,1984,1,4,-5,-5,-5
2542,1,3,1981,1,4,-4,3,3
2543,2,12,1980,1,4,-4,4,7
2544,2,3,1983,1,4,7600,3,1
2545,1,1,1981,1,4,-4,3,2
2546,1,10,1981,1,4,-5,-5,-5
2547,2,11,1981,1,4,-4,5,6
2548,1,4,1984,1,4,6500,3,5
2549,2,2,1983,1,4,-5,-5,-5
2550,2,2,1983,1,4,-5,-5,-5
2551,2,10,1981,1,4,-4,5,1
2552,1,12,1984,1,4,5500,3,4
2553,2,4,1980,1,4,-4,4,5
2554,2,8,1981,1,4,-4,3,7
2555,2,4,1981,1,4,-4,5,2
2556,2,4,1980,1,2,-4,3,3
2557,2,7,1984,1,4,2500,3,5
2558,1,1,1981,1,4,-4,5,2
2559,2,9,1983,1,4,2700,2,1
2560,1,4,1980,1,4,-5,-5,-5
2561,2,4,1980,1,4,-4,3,1
2562,1,8,1983,1,4,7500,3,1
2563,1,11,1983,1,4,3000,3,6
2564,1,7,1984,1,4,12500,3,2
2565,2,9,1981,1,4,-4,3,3
2566,1,6,1984,1,4,3500,3,6
2567,2,2,1980,1,4,-4,3,5
2568,1,3,1980,1,4,-4,3,1
2569,1,8,1982,1,4,-4,3,2
2570,2,7,1981,1,4,-4,4,5
2571,2,5,1984,1,4,-4,3,3
2572,2,8,1982,1,4,-4,3,2
2573,1,11,1983,1,4,7900,3,1
2574,1,12,1981,1,4,-4,3,1
2575,1,7,1981,1,4,-4,3,6
2576,1,3,1983,1,4,3650,3,4
2577,2,9,1980,1,4,-4,3,5
2578,1,2,1980,1,4,-5,-5,-5
2579,2,4,1980,1,4,-4,3,3
2580,2,2,1982,1,4,-4,3,3
2581,1,9,1983,1,4,8500,3,1
2582,2,7,1982,1,4,-4,3,1
2583,2,11,1982,1,4,-4,3,1
2584,1,11,1983,1,4,11000,3,1
2585,1,7,1980,1,4,-4,3,6
2586,2,1,1984,1,4,-2000,3,1
2587,2,12,1983,1,4,-5,-5,-5
2588,2,1,1983,1,4,-4,3,4
2589,1,6,1982,1,4,-4,3,2
2590,2,10,1981,1,4,-4,1,1
2591,1,11,1981,1,4,-4,3,6
2592,2,2,1981,1,4,-4,5,4
2593,1,7,1984,1,4,7750,3,3
2594,1,11,1983,1,4,2800,3,1
2595,1,5,1980,1,4,-4,1,1
2596,1,7,1980,1,4,-4,3,3
2597,1,2,1983,1,4,-2500,3,2
2598,1,1,1981,1,4,-4,3,2
2599,2,1,1981,1,4,-4,3,2
2600,2,8,1982,1,4,-4,3,3
2601,2,8,1981,1,4,-4,3,3
2602,1,5,1982,1,1,-5,-5,-5
2603,1,10,1983,1,4,0,3,1
2604,1,12,1983,1,4,2506,3,1
2605,1,3,1983,1,4,3500,3,1
2606,1,4,1980,1,4,-5,-5,-5
2607,2,4,1981,1,4,-4,3,4
2608,1,4,1984,1,4,-1250,3,6
2609,1,9,1982,1,4,-4,3,2
2610,2,5,1982,1,4,-4,3,2
2611,1,12,1981,1,4,-4,3,1
2612,2,4,1984,1,4,-4,3,1
2613,1,3,1981,1,4,-5,-5,-5
2614,1,6,1983,1,4,2050,3,1
2615,1,2,1981,1,4,-4,3,6
2616,1,4,1981,1,4,-4,5,4
2617,2,2,1984,1,4,-4,3,3
2618,1,7,1983,1,4,-3,3,6
2619,2,10,1981,1,4,-4,3,3
2620,2,1,1981,1,4,-5,-5,-5
2621,2,1,1983,1,4,-4,3,1
2622,1,3,1981,1,4,-4,3,2
2623,1,6,1984,1,4,3800,3,3
2624,1,7,1981,1,4,-4,3,3
2625,2,7,1980,1,4,-4,5,3
2626,2,8,1981,1,4,-4,3,3
2627,1,3,1982,1,4,-4,3,6
2628,1,10,1982,1,4,-4,3,3
2629,1,9,1982,1,4,-4,3,4
2630,1,9,1982,1,4,-4,3,6
2631,1,7,1984,1,4,-4,1,2
2632,2,5,1983,1,4,3350,3,5
2633,1,8,1983,1,4,1825,3,2
2634,2,5,1980,1,4,-5,-5,-5
2635,2,12,1982,1,4,-4,3,3
2636,2,5,1984,1,4,-4,3,6
2637,1,5,1981,1,4,-4,5,5
2638,2,10,1980,1,4,-4,4,2
2639,2,8,1980,1,4,-4,5,3
2640,2,3,1984,1,4,-4,3,4
2641,1,8,1981,1,4,-4,2,2
2642,2,12,1982,1,4,-4,3,1
2643,1,2,1982,1,4,-4,1,4
2644,1,1,1984,1,4,-4,3,1
2645,2,4,1984,1,3,-4,2,1
2648,1,3,1982,1,4,-4,2,1
2649,1,10,1984,1,4,-4,1,5
2650,2,5,1984,1,4,-5,-5,-5
2651,1,6,1983,1,4,6500,1,2
2652,1,2,1983,1,4,-1500,2,1
2653,2,12,1980,1,4,-4,1,3
2654,2,2,1983,1,4,1300,3,6
2655,2,6,1984,1,4,-4,3,3
2656,2,7,1981,1,4,-4,1,1
2657,2,6,1982,1,4,-4,1,2
2658,1,10,1981,1,4,-4,3,1
2659,2,5,1981,1,4,-4,5,6
2660,1,1,1980,1,4,-4,3,2
2661,1,9,1982,1,4,-4,3,4
2662,1,4,1982,1,4,-4,3,3
2663,2,11,1981,1,4,-4,3,4
2664,2,5,1981,1,4,-4,5,6
2665,1,11,1983,1,4,4100,3,6
2666,1,5,1983,1,4,-5300,3,5
2667,2,6,1984,1,4,-4,3,2
2668,1,9,1980,1,4,-4,3,2
2669,2,6,1981,1,4,-4,3,3
2670,2,3,1983,1,4,5500,3,6
2671,2,3,1980,1,4,-5,-5,-5
2672,2,11,1980,1,4,-4,5,2
2673,1,9,1983,1,4,2721,3,3
2674,2,6,1982,1,4,-4,3,6
2675,2,12,1984,1,4,-4,3,2
2676,1,7,1984,1,4,-4,3,1
2677,1,5,1982,1,4,-4,3,4
2678,1,5,1984,1,4,2600,3,5
2679,2,1,1980,1,4,-4,5,3
2680,2,11,1981,1,4,-4,2,2
2681,2,7,1981,1,4,-4,5,2
2682,1,9,1983,1,1,-3250,3,3
2683,1,9,1983,1,1,1500,3,2
2684,2,4,1982,1,4,-4,3,1
2685,2,3,1980,1,4,-4,3,2
2686,2,1,1983,1,4,1150,3,1
2687,2,10,1983,1,4,6800,3,2
2688,1,12,1980,1,4,-4,3,3
2689,1,2,1982,1,4,-4,3,3
2690,1,3,1983,1,4,-3,3,2
2691,2,8,1982,1,4,-4,3,1
2692,1,2,1980,1,4,-5,-5,-5
2693,1,11,1981,1,4,-4,3,1
2694,1,1,1980,1,4,-4,1,1
2695,1,12,1981,1,4,-4,1,1
2696,1,9,1983,1,4,6300,1,1
2697,1,1,1980,1,4,-4,3,3
2698,2,6,1981,1,4,-4,5,2
2699,2,3,1982,1,4,-4,3,4
2700,1,10,1984,1,4,22500,3,2
2701,1,1,1980,1,4,-4,3,1
2702,1,4,1983,1,4,2510,3,2
2703,1,8,1980,1,4,-4,5,5
2704,1,4,1980,1,4,-5,-5,-5
2705,2,8,1980,1,4,-4,3,3
2706,1,1,1982,1,4,-4,1,1
2707,2,8,1983,1,4,25400,3,1
2708,2,7,1984,1,4,-4,3,2
2709,2,5,1981,1,4,-4,5,3
2710,1,7,1983,1,4,-4550,3,3
2711,1,4,1983,1,4,3125,3,1
2712,2,2,1983,1,4,-4,1,1
2713,1,10,1984,1,4,-4,1,1
2714,1,4,1984,1,4,-4,3,1
2715,1,1,1981,1,4,-4,3,1
2716,1,10,1983,1,1,-5,-5,-5
2717,2,10,1980,1,1,-4,3,6
2718,2,9,1983,1,1,2540,1,3
2719,1,9,1984,1,1,-4,1,2
2720,2,12,1980,1,1,-4,3,6
2721,1,8,1982,1,1,-4,3,2
2722,2,4,1981,1,1,-5,-5,-5
2723,2,12,1984,1,1,-4,1,2
2724,2,6,1982,1,1,-5,-5,-5
2725,2,7,1982,1,4,-5,-5,-5
2726,2,9,1981,1,4,-5,-5,-5
2727,1,12,1982,1,2,-4,3,7
2728,1,3,1984,1,4,-4,3,6
2729,2,1,1980,1,4,-4,3,1
2730,1,4,1980,1,4,-4,5,6
2731,1,7,1982,1,4,-4,3,6
2732,1,11,1983,1,4,400,3,3
2733,1,5,1982,1,4,-4,3,1
2734,2,1,1983,1,4,-3900,3,6
2735,1,11,1984,1,2,6287,3,6
2736,1,2,1984,1,4,3150,1,7
2737,1,4,1981,1,4,-4,3,4
2738,1,9,1982,1,4,-4,3,3
2739,2,1,1980,1,4,-4,3,4
2740,2,9,1980,1,4,-4,3,5
2741,1,1,1981,1,4,-4,3,-2
2742,1,12,1981,1,4,-4,3,5
2743,1,12,1981,1,4,-4,3,5
2744,2,3,1980,1,4,-4,3,2
2745,2,6,1984,1,4,-4,1,1
2746,2,10,1983,1,2,3445,3,1
2747,1,3,1980,1,4,-4,2,1
2748,2,12,1984,1,4,-4,3,3
2749,2,5,1980,1,4,-4,3,6
2750,2,11,1981,1,4,-4,3,1
2751,2,12,1984,1,4,2700,3,1
2752,1,7,1981,1,4,-4,2,2
2753,1,11,1982,1,4,-4,3,2
2754,2,1,1982,1,4,-4,3,4
2755,1,5,1984,1,4,-4,3,4
2756,1,8,1983,1,4,23400,2,3
2757,2,4,1984,1,4,-4,3,7
2758,1,8,1980,1,4,-4,5,2
2759,1,11,1982,1,4,-4,1,1
2760,2,4,1981,1,4,-4,1,2
2761,1,1,1982,1,4,-4,3,1
2762,1,3,1981,1,4,-4,3,1
2763,2,8,1984,1,4,3500,3,1
2764,2,10,1984,1,1,5400,3,5
2765,1,6,1982,1,4,-3500,3,-2
2766,1,4,1983,1,4,-500,1,2
2767,2,7,1980,1,4,-4,2,1
2768,2,10,1982,1,4,-4,3,7
2769,2,1,1981,1,4,-5,-5,-5
2770,2,12,1980,1,4,-4,5,2
2771,2,4,1980,1,4,-5,-5,-5
2772,2,11,1982,1,4,-5,-5,-5
2773,1,8,1981,1,4,-5,-5,-5
2774,1,3,1983,1,4,-5,-5,-5
2775,1,8,1982,1,4,-4,3,1
2776,1,5,1984,1,4,3000,3,6
2777,2,5,1981,1,4,-4,3,5
2778,1,1,1983,1,4,-2100,3,4
2779,1,8,1981,1,4,-4,3,6
2780,2,2,1984,1,4,-4,3,3
2781,2,3,1980,1,4,-4,3,4
2782,2,5,1980,1,4,-4,3,2
2783,2,6,1980,1,4,-5,-5,-5
2784,2,4,1980,1,4,-4,3,5
2785,2,1,1983,1,4,4400,3,6
2786,1,9,1983,1,4,-5,-5,-5
2787,2,2,1981,1,4,-4,3,3
2788,1,7,1983,1,4,16000,3,5
2789,1,4,1982,1,4,-4,3,3
2790,1,1,1980,1,4,-4,3,5
2791,1,10,1982,1,4,-4,3,5
2792,2,5,1984,1,4,-4,3,5
2793,2,12,1983,1,4,29400,3,6
2794,1,5,1981,1,4,-4,3,1
2795,1,5,1981,1,4,-4,3,3
2796,2,4,1984,1,4,-4,3,2
2797,2,12,1980,1,4,-4,3,5
2798,1,10,1983,1,4,-3800,1,2
2799,1,8,1980,1,1,-4,3,1
2800,1,11,1981,1,1,-4,1,2
2801,2,3,1983,1,4,500,3,1
2802,2,12,1982,1,4,7700,3,5
2803,2,12,1980,1,4,-4,3,3
2804,2,6,1982,1,4,-4,3,2
2805,2,10,1982,1,4,-4,3,1
2806,2,1,1982,1,4,-4,3,4
2807,1,1,1984,1,4,15500,3,4
2808,1,5,1983,1,4,-5,-5,-5
2809,2,5,1981,1,1,-4,3,6
2810,1,3,1983,1,1,-4,3,5
2811,2,10,1984,1,1,2500,3,1
2812,2,1,1981,1,4,-4,3,1
2813,1,8,1982,1,1,-4,3,2
2814,1,7,1980,1,1,-4,1,4
2815,2,6,1983,1,1,500002,1,1
2816,2,7,1984,1,1,2500,1,1
2817,2,4,1982,1,4,-5,-5,-5
2818,2,1,1984,1,4,-4,3,7
2819,1,3,1981,1,1,-4,3,1
2820,2,1,1983,1,1,2850,3,1
2821,2,9,1981,1,1,-4,1,7
2822,1,11,1982,1,1,-4,1,3
2823,1,4,1980,1,1,-5,-5,-5
2824,2,8,1980,1,1,-4,3,1
2825,1,4,1982,1,1,-4,1,2
2826,2,1,1984,1,1,-4,1,1
2827,2,11,1982,1,1,-4,1,5
2828,2,12,1982,1,1,-4,3,1
2829,1,9,1980,1,4,-4,2,1
2830,1,9,1982,1,1,-4,3,1
2831,1,6,1980,1,4,-5,-5,-5
2832,2,4,1982,1,4,-4,3,7
2833,1,5,1983,1,4,3900,3,6
2834,2,3,1984,1,4,4200,3,1
2835,1,8,1981,1,4,-4,2,4
2836,2,4,1980,1,1,-5,-5,-5
2837,2,4,1980,1,1,-5,-5,-5
2838,2,6,1982,1,1,-5,-5,-5
2839,2,8,1981,1,4,-4,1,2
2840,2,12,1983,1,4,-4,3,3
2841,2,9,1983,1,4,12500,3,4
2842,2,3,1981,1,4,-5,-5,-5
2843,2,5,1980,1,4,8000,3,2
2844,2,4,1984,1,4,-9500,3,1
2845,2,12,1982,1,4,-4,3,2
2846,1,9,1982,1,4,-4,3,2
2847,2,7,1984,1,4,-4,2,1
2848,2,11,1980,1,4,-5,-5,-5
2849,2,3,1982,1,4,-4,1,3
2850,1,2,1980,1,4,-4,3,7
2851,1,12,1983,1,4,-4,2,2
2852,2,10,1983,1,4,-5,-5,-5
2853,2,12,1981,1,4,-4,3,1
2854,1,8,1983,1,4,9500,2,1
2855,2,8,1980,1,4,-4,3,1
2856,2,12,1983,1,4,-4,3,1
2857,1,9,1981,1,4,-5,-5,-5
2858,1,1,1981,1,4,-4,5,1
2859,2,3,1983,1,4,-1000,1,2
2860,1,9,1980,1,4,-4,1,1
2861,2,7,1982,1,4,-4,1,1
2862,1,11,1981,1,4,-4,2,1
2863,1,10,1983,1,4,-5,-5,-5
2864,2,2,1982,1,4,-4,1,1
2865,2,11,1984,1,4,-167,3,1
2866,1,1,1981,1,4,-4,3,3
2867,1,5,1984,1,4,9250,3,7
2868,1,11,1981,1,4,-4,1,1
2869,2,6,1980,1,4,-5,-5,-5
2870,2,12,1983,1,4,-3,3,6
2871,1,8,1981,1,4,-4,5,8
2872,1,12,1982,1,4,-3500,3,8
2873,1,4,1980,1,4,-4,5,6
2874,1,6,1981,1,4,-4,5,1
2875,1,11,1980,1,4,-4,5,2
2876,1,8,1980,1,4,-4,5,4
2877,2,1,1983,1,4,-4,3,6
2878,2,1,1980,1,4,-4,4,6
2879,2,8,1981,1,4,-5,-5,-5
2880,1,12,1984,1,4,2700,3,7
2881,1,11,1981,1,4,-5,-5,-5
2882,1,6,1981,1,4,-4,1,1
2883,1,10,1983,1,4,432,3,1
2884,1,11,1983,1,4,-7390,3,3
2885,2,12,1981,1,4,-4,2,1
2886,1,2,1984,1,1,-4,3,1
2887,2,12,1982,1,1,-4,3,6
2888,1,5,1984,1,4,6500,3,5
2889,2,9,1980,1,4,-5,-5,-5
2890,1,7,1982,1,4,-5,-5,-5
2891,1,10,1984,1,4,-5,-5,-5
